Date,Close
11/21/83 16:00,61.66
11/22/83 16:00,61.09
11/23/83 16:00,60.91
11/25/83 16:00,61
11/28/83 16:00,60.34
11/29/83 16:00,59.4
11/30/83 16:00,59.03
12/1/83 16:00,59.59
12/2/83 16:00,59.4
12/5/83 16:00,59.12
12/6/83 16:00,58.84
12/7/83 16:00,58.65
12/8/83 16:00,58.65
12/9/83 16:00,58.28
12/12/83 16:00,58.37
12/13/83 16:00,58.84
12/14/83 16:00,59.03
12/15/83 16:00,58.65
12/16/83 16:00,58.65
12/19/83 16:00,58.65
12/20/83 16:00,58.84
12/21/83 16:00,59.03
12/22/83 16:00,58.65
12/23/83 16:00,58.75
12/27/83 16:00,58.65
12/28/83 16:00,59.22
12/29/83 16:00,59.12
12/30/83 16:00,58.84
1/3/84 16:00,61
1/4/84 16:00,64
1/5/84 16:00,63.72
1/6/84 16:00,62.22
1/9/84 16:00,62.03
1/10/84 16:00,62.03
1/11/84 16:00,62.41
1/12/84 16:00,62.5
1/13/84 16:00,63.53
1/16/84 16:00,64.75
1/17/84 16:00,65.03
1/18/84 16:00,65.88
1/19/84 16:00,65.13
1/20/84 16:00,65.13
1/23/84 16:00,65.03
1/24/84 16:00,64.75
1/25/84 16:00,63.72
1/26/84 16:00,62.5
1/27/84 16:00,62.41
1/30/84 16:00,63.35
1/31/84 16:00,62.88
2/1/84 16:00,62.5
2/2/84 16:00,62.12
2/3/84 16:00,62.22
2/6/84 16:00,61.66
2/7/84 16:00,61.37
2/8/84 16:00,61.09
2/9/84 16:00,59.97
2/10/84 16:00,59.78
2/13/84 16:00,61
2/14/84 16:00,61.37
2/15/84 16:00,61.09
2/16/84 16:00,60.91
2/17/84 16:00,60.53
2/21/84 16:00,60.53
2/22/84 16:00,60.72
2/23/84 16:00,59.87
2/24/84 16:00,59.5
2/27/84 16:00,59.78
2/28/84 16:00,59.22
2/29/84 16:00,60.16
3/1/84 16:00,61.28
3/2/84 16:00,60.72
3/5/84 16:00,60.25
3/6/84 16:00,59.97
3/7/84 16:00,59.22
3/8/84 16:00,59.97
3/9/84 16:00,59.59
3/12/84 16:00,59.22
3/13/84 16:00,59.5
3/14/84 16:00,59.59
3/15/84 16:00,59.5
3/16/84 16:00,58.75
3/19/84 16:00,58.75
3/20/84 16:00,58.37
3/21/84 16:00,58.65
3/22/84 16:00,58.09
3/23/84 16:00,58.65
3/26/84 16:00,57.25
3/27/84 16:00,57.25
3/28/84 16:00,57.34
3/29/84 16:00,57.53
3/30/84 16:00,57.25
4/2/84 16:00,56.49
4/3/84 16:00,56.03
4/4/84 16:00,56.03
4/5/84 16:00,55.65
4/6/84 16:00,55.65
4/9/84 16:00,55.46
4/10/84 16:00,55.46
4/11/84 16:00,55.46
4/12/84 16:00,56.21
4/13/84 16:00,56.03
4/16/84 16:00,56.03
4/17/84 16:00,56.21
4/18/84 16:00,56.21
4/19/84 16:00,56.49
4/23/84 16:00,56.87
4/24/84 16:00,58.28
4/25/84 16:00,58.84
4/26/84 16:00,59.22
4/27/84 16:00,59.03
4/30/84 16:00,59.5
5/1/84 16:00,60.16
5/2/84 16:00,58.65
5/3/84 16:00,59.12
5/4/84 16:00,59.03
5/7/84 16:00,58.84
5/8/84 16:00,58.75
5/9/84 16:00,58.84
5/10/84 16:00,58.46
5/11/84 16:00,57.71
5/14/84 16:00,56.59
5/15/84 16:00,56.49
5/16/84 16:00,56.4
5/17/84 16:00,56.03
5/18/84 16:00,55.84
5/21/84 16:00,55.74
5/22/84 16:00,55.65
5/23/84 16:00,56.4
5/24/84 16:00,56.03
5/25/84 16:00,55.65
5/29/84 16:00,55.27
5/30/84 16:00,55.09
5/31/84 16:00,55.37
6/1/84 16:00,56.87
6/4/84 16:00,56.87
6/5/84 16:00,56.78
6/6/84 16:00,56.96
6/7/84 16:00,56.96
6/8/84 16:00,57.62
6/11/84 16:00,57.62
6/12/84 16:00,57.71
6/13/84 16:00,57.62
6/14/84 16:00,56.87
6/15/84 16:00,57.15
6/18/84 16:00,57.34
6/19/84 16:00,57.9
6/20/84 16:00,58.28
6/21/84 16:00,58.84
