Date,Close
6/29/10 16:00,4.78
6/30/10 16:00,4.77
7/1/10 16:00,4.39
7/2/10 16:00,3.84
7/6/10 16:00,3.22
7/7/10 16:00,3.16
7/8/10 16:00,3.49
7/9/10 16:00,3.48
7/12/10 16:00,3.41
7/13/10 16:00,3.63
7/14/10 16:00,3.97
7/15/10 16:00,3.98
7/16/10 16:00,4.13
7/19/10 16:00,4.38
7/20/10 16:00,4.06
7/21/10 16:00,4.04
7/22/10 16:00,4.2
7/23/10 16:00,4.26
7/26/10 16:00,4.19
7/27/10 16:00,4.11
7/28/10 16:00,4.14
7/29/10 16:00,4.07
7/30/10 16:00,3.99
8/2/10 16:00,4.18
8/3/10 16:00,4.39
8/4/10 16:00,4.25
8/5/10 16:00,4.09
8/6/10 16:00,3.92
8/9/10 16:00,3.92
8/10/10 16:00,3.81
8/11/10 16:00,3.58
8/12/10 16:00,3.52
8/13/10 16:00,3.66
8/16/10 16:00,3.76
8/17/10 16:00,3.83
8/18/10 16:00,3.75
8/19/10 16:00,3.76
8/20/10 16:00,3.82
8/23/10 16:00,4.03
8/24/10 16:00,3.84
8/25/10 16:00,3.98
8/26/10 16:00,3.95
8/27/10 16:00,3.94
8/30/10 16:00,3.97
8/31/10 16:00,3.9
9/1/10 16:00,4.09
9/2/10 16:00,4.21
9/3/10 16:00,4.21
9/7/10 16:00,4.11
9/8/10 16:00,4.18
9/9/10 16:00,4.14
9/10/10 16:00,4.03
9/13/10 16:00,4.14
9/14/10 16:00,4.22
9/15/10 16:00,4.4
9/16/10 16:00,4.19
9/17/10 16:00,4.05
9/20/10 16:00,4.21
9/21/10 16:00,4.15
9/22/10 16:00,3.97
9/23/10 16:00,3.91
9/24/10 16:00,4.02
9/27/10 16:00,4.11
9/28/10 16:00,4.28
9/29/10 16:00,4.4
9/30/10 16:00,4.08
10/1/10 16:00,4.12
10/4/10 16:00,4.2
10/5/10 16:00,4.22
10/6/10 16:00,4.08
10/7/10 16:00,4.09
10/8/10 16:00,4.09
10/11/10 16:00,4.05
10/12/10 16:00,4.05
10/13/10 16:00,4.11
10/14/10 16:00,4.15
10/15/10 16:00,4.11
