date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2014-12-31_Q4,29328000000,20671000000,8657000000,0.295179,2635000000,5392000000,34000000,39000000,8066000000,28737000000,74000000,1380000000,1873000000,0.063864,591000000,0.020151,-96000000,429000000,0.014628,205000000,214000000,0.007297,0.45,0.45,472000000,472000000
2014-09-30_Q3,20579000000,14627000000,5952000000,0.289227,2423000000,4042000000,32000000,31000000,6496000000,21123000000,49000000,1247000000,654000000,0.03178,-544000000,-0.026435,-50000000,-634000000,-0.030808,-205000000,-437000000,-0.021235,-0.94,-0.94,463000000,463000000
2014-06-30_Q2,19340000000,13399000000,5941000000,0.307187,2226000000,3702000000,59000000,28000000,5956000000,19355000000,45000000,1109000000,1122000000,0.058014,-15000000,-0.000776,22000000,-27000000,-0.001396,94000000,-126000000,-0.006515,-0.27,-0.27,461000000,461000000
2014-03-31_Q1,19741000000,14055000000,5686000000,0.28803,1991000000,3514000000,870000000,35000000,5540000000,19595000000,42000000,1010000000,1233000000,0.062459,146000000,0.007396,5000000,120000000,0.006079,73000000,108000000,0.005471,0.23,0.23,468000000,468000000
2013-12-31_Q4,25587000000,18806000000,6781000000,0.265017,1862000000,4369000000,25000000,40000000,6271000000,25077000000,39000000,962000000,1420000000,0.055497,510000000,0.019932,-29000000,452000000,0.017665,179000000,240000000,0.00938,0.51,0.51,468000000,468000000
2013-09-30_Q3,17092000000,12366000000,4726000000,0.276504,1734000000,3006000000,23000000,11000000,4751000000,17117000000,36000000,834000000,817000000,0.0478,-25000000,-0.001463,9000000,-43000000,-0.002516,-12000000,-41000000,-0.002399,-0.09,-0.09,457000000,457000000
2013-06-30_Q2,15704000000,11209000000,4495000000,0.286233,1586000000,2798000000,40000000,32000000,4416000000,15625000000,33000000,757000000,796000000,0.050688,79000000,0.005031,-38000000,17000000,0.001083,13000000,-7000000,-0.000446,-0.02,-0.02,456000000,456000000
2013-03-31_Q1,16070000000,11801000000,4269000000,0.26565,1383000000,2674000000,632000000,31000000,4088000000,15889000000,33000000,700000000,797000000,0.049596,181000000,0.011263,-77000000,81000000,0.00504,-18000000,82000000,0.005103,0.18,0.18,463000000,463000000
2012-12-31_Q4,21268000000,16136000000,5132000000,0.241301,1345000000,3344000000,851000000,38000000,4727000000,20863000000,27000000,662000000,980000000,0.046079,405000000,0.019043,-49000000,337000000,0.015845,194000000,97000000,0.004561,0.21,0.21,461000000,461000000
2012-09-30_Q3,13806000000,10319000000,3487000000,0.252571,1192000000,2280000000,540000000,43000000,3515000000,13834000000,23000000,555000000,387000000,0.028031,-28000000,-0.002028,18000000,-22000000,-0.001594,83000000,-274000000,-0.019846,-0.61,-0.61,452000000,452000000
