date,,,,,COST And EXPENSES,,,,,,,,EBITDA,,,,INCOME,,,,,,,,,EPS,,,,
,revenue,costOfRevenue,grossProfit,grossProfitRatio,,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,,depreciationAndAmortization,EBITDA,EBITDARatio,,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1998-12-31_FY,51794000000,20290000000,31504000000,0.608256,,0,23456000000,0,0,43746000000,0,20290000000,,1998000000,30336000000,0,,8048000000,0,0,8048000000,0,2883000000,5165000000,0,,1.77,1.77,3552000000,3552000000
1997-12-31_FY,21734000000,8681000000,13053000000,0.60058,,0,8257000000,0,0,16938000000,0,8681000000,,865000000,14342000000,0,,4796000000,0,0,4796000000,0,1719000000,3077000000,0,,2.14,2.14,1435000000,1435000000
1996-12-31_FY,17509000000,7467000000,10042000000,0.573534,,0,6408000000,0,0,13875000000,0,7467000000,,442000000,11543000000,0,,3634000000,0,0,3634000000,0,1259000000,2375000000,0,,2,2,1180000000,1180000000
1995-12-31_FY,16327000000,7773000000,8554000000,0.523917,,0,5563000000,0,0,13336000000,0,7773000000,,399000000,11163000000,0,,2991000000,0,0,2991000000,0,1041000000,1950000000,0,,1.78,1.78,1090000000,1090000000
1994-12-31_FY,13113000000,5318000000,7795000000,0.594448,,0,5240000000,0,0,10558000000,0,5318000000,,406000000,8279000000,0,,2555000000,0,0,2555000000,0,865000000,1690000000,0,,1.53,1.53,1099000000,1099000000
1993-12-31_FY,10512000000,3690000000,6822000000,0.648973,,0,4831000000,0,0,8521000000,0,3690000000,,352000000,6233000000,0,,1991000000,0,0,1991000000,0,690000000,1501000000,0,,1.25,1.25,1032000000,1032000000
1992-12-31_FY,9942000000,3682000000,6260000000,0.629652,,0,4864000000,0,0,8546000000,0,3682000000,,339000000,5417000000,0,,1396000000,0,0,1396000000,0,251000000,1145000000,0,,2.3,2.3,487000000,487000000
1991-12-31_FY,11594000000,5599000000,5995000000,0.517078,,0,5886000000,0,0,11485000000,0,5599000000,,361000000,6069000000,0,,109000000,0,0,109000000,0,-93000000,202000000,0,,0.19,0.19,905000000,905000000
1990-12-31_FY,6682000000,3911000000,2771000000,0.414696,,0,2393000000,0,0,6304000000,0,3911000000,,161000000,4450000000,0,,378000000,0,0,378000000,0,12000000,366000000,0,,0.83,0.83,439000000,439000000
1989-12-31_FY,6153000000,3589000000,2564000000,0.416707,,0,1931000000,0,0,5520000000,0,3589000000,,130000000,4235000000,0,,632000000,0,0,632000000,0,69000000,447000000,0,,1.11,1.11,403000000,403000000
1988-12-31_FY,2830000000,1567000000,1263000000,0.44629,,0,937000000,0,0,2504000000,0,1567000000,,82000000,1979000000,0,,327000000,0,0,327000000,0,78000000,252000000,0,,0.74,0.74,341000000,341000000
1987-12-31_FY,2460000000,1307000000,1153000000,0.468699,,0,953000000,0,0,2260000000,0,1307000000,,0,1508000000,0,,201000000,0,0,201000000,0,34000000,167000000,0,,0.51,0.51,328000000,328000000
1986-12-31_FY,2295000000,1246000000,1049000000,0.457081,,0,804000000,0,0,2050000000,0,1246000000,,0,1492000000,0,,246000000,0,0,246000000,0,47000000,199000000,0,,0.63,0.63,314000000,314000000
1985-12-31_FY,1935000000,1075000000,860000000,0.444444,,0,650000000,0,0,1725000000,0,1075000000,,0,1285000000,0,,211000000,0,0,211000000,0,46000000,164000000,0,,0.58,0.58,286000000,286000000
1984-12-31_FY,1643000000,1015000000,628000000,0.382228,,0,468000000,0,0,1483000000,0,1015000000,,0,1174000000,0,,159000000,0,0,159000000,0,40000000,119000000,0,,0.51,0.51,235000000,235000000
1983-12-31_FY,1253000000,755000000,498000000,0.397446,,0,371000000,0,0,1126000000,0,755000000,,0,881000000,0,,126000000,0,0,126000000,0,34000000,92000000,0,,0.46,0.46,201000000,201000000
