date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2015-09-30_Q3,936800000,705300000,231500000,0.247118,178800000,236400000,0,-15431000,415200000,1120500000,29308000,110400000,-88392000,-0.094355,-183700000,-0.196093,-15500000,-228100000,-0.243488,1800000,-229900000,-0.24541,-1.78,-1.78,129000000,129000000
2015-06-30_Q2,955000000,741600000,213400000,0.223455,181700000,201800000,0,13233000,383600000,1125200000,24352000,91400000,-65248000,-0.068323,-170200000,-0.17822,13200000,-181100000,-0.189634,3200000,-184200000,-0.19288,-1.45,-1.45,126700000,126700000
2015-03-31_Q1,939900000,679800000,260100000,0.276732,167200000,195400000,0,-22305000,362500000,1042300000,26574000,77100000,-47526000,-0.050565,-102400000,-0.108948,-22300000,-151100000,-0.160762,3000000,-154200000,-0.16406,-1.22,-1.22,125900000,125900000
2014-12-31_Q4,956700000,695000000,261700000,0.273544,139600000,197000000,0,-588000,336500000,1031500000,28703000,67900000,-7297000,-0.007627,-74800000,-0.078185,-600000,-103900000,-0.108602,3700000,-107600000,-0.11247,-0.86,-0.86,125500000,125500000
2014-09-30_Q3,851800000,600000000,251900000,0.295727,135900000,155100000,0,-3091000,290900000,890900000,29061000,65000000,23061000,0.027073,-39100000,-0.045903,-5600000,-71000000,-0.083353,3700000,-74700000,-0.087697,-0.6,-0.6,124900000,124900000
2014-06-30_Q2,769300000,556400000,213000000,0.276875,107700000,134000000,0,5492000,241700000,798100000,31239000,54700000,25239000,0.032808,-28800000,-0.037437,-1200000,-60800000,-0.079033,1200000,-61900000,-0.080463,-0.5,-0.5,124300000,124300000
2014-03-31_Q1,620500000,465400000,155100000,0.24996,81500000,117600000,0,0,199100000,664500000,11883000,44300000,7183000,0.011576,-44000000,-0.070911,6700000,-49000000,-0.078969,800000,-49800000,-0.080258,-0.4,-0.4,123500000,123500000
2013-12-31_Q4,615200000,458600000,156600000,0.254551,68500000,101500000,0,4584000,170000000,628600000,6229000,37600000,28929000,0.047024,-13400000,-0.021782,4600000,-14900000,-0.02422,1400000,-16300000,-0.026495,-0.13,-0.13,122800000,122800000
2013-09-30_Q3,431300000,328500000,102900000,0.238581,56400000,77100000,0,-741000,133400000,461900000,46939000,28500000,37739000,0.087501,-30600000,-0.070948,-700000,-37700000,-0.08741,800000,-38500000,-0.089265,-0.32,-0.32,121900000,121900000
2013-06-30_Q2,405100000,304700000,100500000,0.248087,52300000,60000000,0,1668000,112200000,416900000,-20352000,22100000,-28452000,-0.070235,-11800000,-0.029129,1700000,-30200000,-0.074549,300000,-30500000,-0.07529,-0.26,-0.26,118200000,118200000
2013-03-31_Q1,561800000,465500000,96300000,0.171413,54900000,47000000,0,17091000,101900000,567400000,118000,17900000,29418000,0.052364,-5600000,-0.009968,17100000,11400000,0.020292,200000,11200000,0.019936,0.09,0.09,124300000,124300000
2012-12-31_Q4,306300000,282500000,23900000,0.078028,68800000,45900000,0,745000,114700000,397200000,26000,12800000,-77174000,-0.251956,-90900000,-0.296768,700000,-90100000,-0.294156,-100000,-89900000,-0.293503,-0.79,-0.79,113800000,113800000
2012-09-30_Q3,50100000,58900000,-8800000,-0.175649,61900000,37800000,0,-2188000,99700000,158600000,79000,7500000,-103121000,-2.058303,-108500000,-2.165669,-2200000,-110700000,-2.209581,100000,-110800000,-2.211577,-1.05,-1.05,105600000,105600000
