date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2014-12-31_Q4,24639000000,1889000000,22750000000,0.923333,0,16249000000,0,3556000000,18138000000,8041000000,1889000000,1186000000,9576000000,0.330890192,6501000000,0.278207178,0,6501000000,0.278207178,1570000000,4931000000,0.219038735,1.41,1.41,3765000000,3765000000
2014-09-30_Q3,26288000000,1819000000,24469000000,0.930805,0,16555000000,0,2956000000,18374000000,9347000000,1819000000,1410000000,11143000000,0.364513734,7914000000,0.317206962,0,7914000000,0.317206962,2349000000,5565000000,0.229811103,1.56,1.56,3789000000,3789000000
2014-06-30_Q2,26741000000,2063000000,24678000000,0.922853,0,16123000000,0,2701000000,18186000000,9175000000,2063000000,1218000000,11836000000,0.390488264,8555000000,0.340680461,0,8555000000,0.340680461,2575000000,5980000000,0.244745236,1.46,1.46,3813000000,3813000000
2014-03-31_Q1,25341000000,2126000000,23215000000,0.916104,0,15486000000,0,1933000000,17612000000,9401000000,2126000000,1208000000,11063000000,0.3790284,7729000000,0.326490671,0,7729000000,0.326490671,2460000000,5269000000,0.229374157,1.28,1.28,3824000000,3824000000
2013-12-31_Q4,26176000000,2259000000,23917000000,0.9137,0,15656000000,0,3136000000,17915000000,8621000000,2259000000,1690000000,12210000000,0.281741233,8261000000,0.227932285,0,8261000000,0.323890136,3020000000,5241000000,0.227932285,3.15,3.15,3797000000,3797000000
2013-09-30_Q3,25408000000,2291000000,23117000000,0.909832,0,23083000000,0,11373000000,25374000000,8821000000,2291000000,1651000000,3976000000,0.054981183,34000000,0.001470779,0,34000000,0.001470779,414000000,-380000000,-0.016438119,-0.17,-0.17,3767000000,3767000000
2013-06-30_Q2,27579000000,2368000000,25211000000,0.914138,0,15913000000,0,2951000000,18281000000,9532000000,2368000000,1435000000,13101000000,0.314584903,9298000000,0.257665305,0,9298000000,0.368807267,2802000000,6496000000,0.257665305,1.59,1.59,3783000000,3783000000
2013-03-31_Q1,27554000000,2432000000,25122000000,0.911737,0,16040000000,0,2301000000,18472000000,9898000000,2432000000,974000000,12488000000,0.298662527,9082000000,0.259891728,0,9082000000,0.361515803,2553000000,6529000000,0.259891728,1.66,1.66,3847000000,3847000000
2012-12-31_Q4,26165000000,2512000000,23653000000,0.903994,0,16703000000,0,3678000000,19215000000,8792000000,2512000000,1404000000,10866000000,0.300004228,6950000000,0.240646007,0,6950000000,0.293831649,1258000000,5692000000,0.240646007,1.65,1.65,3821000000,3821000000
2012-09-30_Q3,27799000000,2653000000,25146000000,0.904565,0,17160000000,0,3035000000,19813000000,11550000000,2653000000,1294000000,11933000000,0.27845383,7986000000,0.226994353,0,7986000000,0.317585302,2278000000,5708000000,0.226994353,1.55,1.55,3814000000,3814000000
2012-06-30_Q2,25133000000,2953000000,22180000000,0.882505,0,15180000000,0,2487000000,18133000000,7618000000,2953000000,1217000000,11170000000,0.278494139,7000000000,0.223624887,0,7000000000,0.315599639,2040000000,4960000000,0.223624887,1.27,1.27,3821000000,3821000000
2012-03-31_Q1,29087000000,3035000000,26052000000,0.895658,0,19071000000,0,4832000000,22106000000,8806000000,3035000000,1232000000,11248000000,0.236296637,6981000000,0.189006602,0,6981000000,0.267964072,2057000000,4924000000,0.189006602,1.69,1.69,3834000000,3834000000
2011-12-31_Q4,24394000000,2923000000,21471000000,0.880175,0,16724000000,0,2872000000,19647000000,6504000000,2923000000,1288000000,8958000000,0.281076801,4747000000,0.221088911,0,4747000000,0.221088911,1019000000,3728000000,0.173629547,1.02,1.02,3812000000,3812000000
2011-09-30_Q3,27106000000,3343000000,23763000000,0.876669,0,17945000000,0,3445000000,21288000000,7120000000,3343000000,1265000000,10426000000,0.298068426,5818000000,0.244834406,0,5818000000,0.244834406,1556000000,4262000000,0.179354459,1.26,1.26,3872000000,3872000000
2011-06-30_Q2,30575000000,3796000000,26779000000,0.875846,0,18652000000,0,4299000000,22448000000,16261000000,3796000000,1278000000,13201000000,0.360307692,8127000000,0.311230769,0,8127000000,0.311230769,2696000000,5431000000,0.211269231,1.59,1.59,3983000000,3983000000
2011-03-31_Q1,28763000000,3542000000,25221000000,0.876856,0,17164000000,0,2943000000,20706000000,659000000,3542000000,1274000000,12873000000,0.361365529,8057000000,0.319456009,0,8057000000,0.319456009,2502000000,5555000000,0.220252964,1.47,1.47,4014000000,4014000000
2010-12-31_Q4,29608000000,3510000000,26098000000,0.881451,0,19086000000,0,4616000000,22596000000,584000000,3510000000,1280000000,11802000000,0.308835926,7012000000,0.268679592,0,7012000000,0.268679592,2181000000,4831000000,0.18510997,1.51,1.51,3935000000,3935000000
2010-09-30_Q3,26928000000,3104000000,23824000000,0.88473,0,17621000000,0,3082000000,20725000000,651000000,3104000000,1273000000,10580000000,0.304650772,6203000000,0.260367696,0,6203000000,0.260367696,1785000000,4418000000,0.185443251,1.28,1.28,3972000000,3972000000
2010-06-30_Q2,28133000000,3032000000,25101000000,0.892226,0,17994000000,0,2419000000,21026000000,628000000,3032000000,1208000000,11347000000,0.321819848,7107000000,0.28313613,0,7107000000,0.28313613,2312000000,4795000000,0.191028246,1.22,1.22,4006000000,4006000000
2010-03-31_Q1,30806000000,3135000000,27671000000,0.898234,0,23134000000,0,4441000000,26269000000,583000000,3135000000,1204000000,8876000000,0.198474938,4537000000,0.163962271,0,4537000000,0.163962271,1211000000,3326000000,0.120198041,1.28,1.28,3995000000,3995000000
2009-12-31_Q4,26401000000,3237000000,23164000000,0.877391,0,19288000000,0,2262000000,22525000000,536000000,3237000000,1612000000,8725000000,0.203203246,3876000000,0.167328613,0,3876000000,0.167328613,598000000,3278000000,0.141512692,0.75,0.75,3974000000,3974000000
2009-09-30_Q3,30145000000,3523000000,26622000000,0.883132,0,21559000000,0,5332000000,25082000000,1241000000,3523000000,997000000,9659000000,0.218309554,5063000000,0.207590992,0,5063000000,0.207590992,1551000000,3588000000,0.141288824,0.82,0.82,3962000000,3962000000
2009-06-30_Q2,29502000000,3879000000,25623000000,0.868517,0,21551000000,0,0,25430000000,0,3879000000,1063000000,9014000000,-0.176204251,4072000000,-0.276568985,0,4072000000,-0.276568985,1351000000,2721000000,-0.169035341,0.31,0.31,3752000000,3752000000
2009-03-31_Q1,29584000000,4559000000,25025000000,0.845896,0,21969000000,0,1375000000,26528000000,384000000,4559000000,686000000,8301000000,0.138541459,3056000000,0.122117882,0,3056000000,0.122117882,915000000,2141000000,0.085554446,0.44,0.44,3759000000,3759000000
2008-12-31_Q4,25025000000,7799000000,17226000000,0.688352,0,18568000000,0,3740000000,26367000000,1913000000,7799000000,1278000000,9060000000,0.031212304,-1342000000,-0.031363088,0,-1342000000,-0.101176116,-719000000,702000000,0.052925211,-0.26,-0.26,3659000000,3659000000
2008-09-30_Q3,23069000000,8332000000,14737000000,0.638823,0,16924000000,0,-1402000000,25256000000,-959000000,8332000000,1115000000,7841000000,-0.073640302,-2187000000,-0.116958126,0,-2187000000,-0.116958126,-2133000000,527000000,0.028183325,-0.06,-0.06,3445000000,3445000000
2008-06-30_Q2,26634000000,8235000000,18399000000,0.690809,0,15632000000,0,1233000000,23867000000,413000000,8235000000,1212000000,12214000000,0.199086907,2767000000,0.150388608,0,2767000000,0.150388608,764000000,2003000000,0.108864612,0.57,0.57,3510000000,3510000000
2008-03-31_Q1,26763000000,9873000000,16890000000,0.631095,0,13355000000,0,169000000,23228000000,546000000,9873000000,923000000,14331000000,0.245233866,3535000000,0.209295441,0,3535000000,0.209295441,1162000000,2373000000,0.140497336,0.67,0.67,3423000000,3423000000
2007-12-31_Q4,28777000000,11396000000,17381000000,0.603989,0,13262000000,0,1254000000,24658000000,570000000,11396000000,1061000000,16576000000,0.212436723,4119000000,0.17090428,0,4119000000,0.237114588,1151000000,2968000000,0.17090428,0.86,0.86,3472000000,3472000000
2007-09-30_Q3,28008000000,11893000000,16115000000,0.575371,0,11112000000,0,812000000,23005000000,561000000,11893000000,957000000,17853000000,0.24708292,5003000000,0.209347071,0,5003000000,0.310327706,1627000000,3376000000,0.209347071,0.98,0.98,3478000000,3478000000
2007-06-30_Q2,30082000000,11174000000,18908000000,0.628549,0,12557000000,0,1013000000,23731000000,457000000,11174000000,927000000,18452000000,0.254283901,6351000000,0.22392638,0,6351000000,0.335889571,2117000000,4234000000,0.22392638,1.21,1.21,3522000000,3522000000
2007-03-31_Q1,29486000000,10518000000,18968000000,0.643288,0,11636000000,0,735000000,22154000000,482000000,10518000000,876000000,18726000000,0.279945171,7332000000,0.252372417,0,7332000000,0.386545761,2545000000,4787000000,0.252372417,1.36,1.36,3560000000,3560000000
2006-12-31_Q4,26598000000,10405000000,16193000000,0.608805,0,11019000000,0,948000000,21424000000,614000000,10405000000,997000000,17196000000,0.282359537,5174000000,0.24330385,0,5174000000,0.32228728,1268000000,4526000000,0.281923508,1.11,1.11,3579000000,3579000000
