date,,,,,,COST And EXPENSES,,,,,,,,,EBITDA,,,,INCOME,,,,,,,,,EPS,,,,
,revenue,costOfRevenue,grossProfit,grossProfitRatio,,,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,,,depreciationAndAmortization,EBITDA,EBITDARatio,,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1992-03-31_Q1,7914000000,5635000000,2279000000,0.287971,,,0,0,0,0,603000000,6238000000,-559000000,,,1410000000,-463000000,-0.058504,,1676000000,0.211777,36000000,1153000000,0.145691,413000000,-1727000000,-0.218221,,0.38,0.38,1951000000,1951000000
1991-12-31_Q4,8390000000,6162000000,2228000000,0.265554,,,0,0,0,0,615000000,6777000000,-407000000,,,1411000000,2052000000,0.244577,,1613000000,0.192253,-159000000,1048000000,0.124911,320000000,728000000,0.08677,,0.38,0.38,1937000000,1937000000
1991-09-30_Q3,8005000000,5749000000,2256000000,0.281824,,,0,0,0,0,581000000,6330000000,-597000000,,,1427000000,1979000000,0.24722,,1676000000,0.209369,61000000,1139000000,0.142286,351000000,798000000,0.099688,,0.4,0.4,1938000000,1938000000
1991-06-30_Q2,7976000000,5737000000,2239000000,0.280717,,,0,0,0,0,573000000,6310000000,-592000000,,,1362000000,1857000000,0.232823,,1666000000,0.208877,3000000,1078000000,0.135155,362000000,725000000,0.090898,,0.37,0.37,1928000000,1928000000
1991-03-31_Q1,7745000000,5523000000,2222000000,0.286895,,,0,0,0,0,912000000,6435000000,-595000000,,,1393000000,67000000,0.008651,,1310000000,0.169141,104000000,818000000,0.105617,295000000,-1026000000,-0.132473,,0.38,0.38,1925000000,1925000000
1990-12-31_Q4,6393000000,4398000000,1996000000,0.312216,,,0,0,0,0,591000000,4989000000,-377000000,,,1394000000,1927000000,0.301423,,1404000000,0.219615,-208000000,818000000,0.127952,208000000,702000000,0.109808,,0.33,0.33,1855000000,1855000000
1990-09-30_Q3,8426000000,6157000000,2269000000,0.269286,,,0,0,0,0,590000000,6747000000,-556000000,,,1413000000,2007000000,0.238191,,1679000000,0.199264,27000000,1151000000,0.136601,355000000,795000000,0.094351,,0.42,0.42,1848000000,1848000000
1990-06-30_Q2,8399000000,6127000000,2271000000,0.270389,,,0,0,0,0,599000000,6726000000,-531000000,,,1406000000,2039000000,0.242767,,1672000000,0.199071,23000000,1164000000,0.138588,398000000,766000000,0.091201,,0.41,0.41,1838000000,1838000000
1990-03-31_Q1,8238000000,5999000000,2238000000,0.271668,,,0,0,0,0,597000000,6596000000,-494000000,,,1387000000,2061000000,0.250182,,1642000000,0.19932,20000000,1168000000,0.141782,406000000,762000000,0.092498,,0.41,0.41,1838000000,1838000000
1989-12-31_Q4,7513000000,6187000000,1326000000,0.176494,,,0,0,0,0,723000000,6910000000,-237000000,,,1780000000,2141000000,0.284973,,603000000,0.080261,232000000,598000000,0.079595,149000000,449000000,0.059763,,0.27,0.27,1596000000,1596000000
1989-09-30_Q3,7263000000,5285000000,1978000000,0.272339,,,0,0,0,0,569000000,5854000000,-342000000,,,1228000000,1930000000,0.26573,,1409000000,0.193997,-22000000,1044000000,0.143742,333000000,711000000,0.097893,,0.43,0.43,1614000000,1614000000
1989-06-30_Q2,7206000000,5246000000,1961000000,0.272134,,,0,0,0,0,566000000,5812000000,-371000000,,,1860000000,2479000000,0.344019,,1394000000,0.19345,-34000000,989000000,0.137247,318000000,672000000,0.093256,,0.42,0.42,1578000000,1578000000
1989-03-31_Q1,2768000000,1616000000,1152000000,0.416185,,,0,0,0,0,562000000,2178000000,-133000000,,,562000000,905000000,0.326951,,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,,0.42,0.42,787000000,787000000
