date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2014-03-31_Q1,620300000,106300000,514000000,0.828631,0,347500000,0,52300000,433900000,540200000,2076000,34100000,113376000,0.182776,80100000,0.129131,-800000,77200000,0.124456,31300000,45900000,0.073996,0.53,0.53,86200000,86200000
2013-12-31_Q4,592500000,97600000,494900000,0.835274,0,340600000,0,43700000,418000000,515600000,2338000,33800000,111238000,0.187743,76800000,0.12962,500000,75100000,0.126751,27900000,47200000,0.079662,0.55,0.55,86200000,86200000
2013-09-30_Q3,616500000,96800000,519700000,0.842985,0,339100000,0,49500000,421600000,518400000,2479000,32900000,130579000,0.211807,98100000,0.159124,-400000,95300000,0.154582,35100000,60100000,0.097486,0.7,0.7,86200000,86200000
2013-06-30_Q2,590300000,95100000,495200000,0.838895,0,322100000,0,45000000,397600000,492700000,2403000,30600000,127903000,0.216675,97600000,0.16534,-300000,94900000,0.160766,36600000,58300000,0.098763,0.68,0.68,86200000,86200000
2013-03-31_Q1,538400000,95700000,442700000,0.822251,0,304700000,0,42200000,376800000,472500000,2400000,29800000,95700000,0.177749,65900000,0.1224,-100000,63500000,0.117942,22900000,40600000,0.075409,0.47,0.47,86200000,86200000
2012-12-31_Q4,533800000,95900000,437900000,0.820345,0,298300000,0,42100000,370400000,466300000,2755000,29900000,96955000,0.181632,67500000,0.126452,-500000,64300000,0.120457,24800000,39500000,0.073998,0.46,0.46,86200000,86200000
2012-09-30_Q3,550500000,94700000,455800000,0.827975,0,302100000,0,44000000,374900000,469600000,2882000,28700000,109882000,0.199604,80900000,0.146957,300000,78400000,0.142416,27300000,51000000,0.092643,0.59,0.59,86200000,86200000
2012-06-30_Q2,547500000,93700000,453800000,0.828858,0,300200000,0,44400000,371200000,464900000,2685000,26600000,108285000,0.197781,82600000,0.150868,-900000,79100000,0.144475,31200000,47800000,0.087306,0.56,0.56,86200000,86200000
2012-03-31_Q1,502800000,94200000,408600000,0.812649,0,287900000,0,40900000,354400000,448600000,3219000,25500000,80119000,0.159346,54200000,0.107796,300000,51400000,0.102228,20300000,31100000,0.061854,0.36,0.36,86200000,86200000
2011-12-31_Q4,506400000,90400000,416000000,0.821485,0,273300000,0,55000000,352700000,443100000,3330000,24300000,88330000,0.174427,63300000,0.125,500000,60600000,0.119668,20800000,39900000,0.078791,0.46,0.46,86200000,86200000
2011-09-30_Q3,494500000,91400000,403100000,0.815167,0,275900000,0,35600000,334900000,426300000,3397000,23400000,89897000,0.181794,68200000,0.137917,-1700000,63100000,0.127604,24500000,38600000,0.078059,0.45,0.45,86200000,86200000
2011-06-30_Q2,480300000,90700000,389600000,0.81116,0,268000000,0,34900000,324900000,415600000,3464000,22000000,86364000,0.179813,64600000,0.134499,-400000,60800000,0.126588,21500000,39400000,0.082032,0.46,0.46,86200000,86200000
2011-03-31_Q1,422700000,82600000,340000000,0.804353,0,248200000,0,32800000,302200000,384800000,3876000,21100000,60476000,0.143071,37900000,0.089662,1400000,35500000,0.083984,13900000,21600000,0.0511,0.26,0.26,84400000,84400000
2010-12-31_Q4,399000000,69300000,329700000,0.826316,0,242700000,0,29100000,291700000,361000000,2950000,19900000,57950000,0.145238,38000000,0.095238,100000,35100000,0.08797,13000000,22100000,0.055388,0.26,0.26,83900000,83900000
2010-09-30_Q3,396000000,62700000,333200000,0.841414,0,239300000,0,31200000,289900000,352600000,2964000,19400000,63064000,0.159253,43400000,0.109596,200000,40600000,0.102525,16300000,24400000,0.061616,0.29,0.29,83900000,83900000
2010-06-30_Q2,368300000,59600000,308700000,0.838175,0,220800000,0,28300000,268600000,328200000,6699000,19500000,61999000,0.168338,40000000,0.108607,-1000000,35900000,0.097475,14300000,21500000,0.058376,0.26,0.26,84800000,84800000
2010-03-31_Q1,317800000,52700000,265100000,0.834172,0,203400000,0,23700000,248700000,301400000,-3518000,21600000,30882000,0.097174,16400000,0.051605,-100000,12800000,0.040277,5100000,7700000,0.024229,0.09,0.09,83900000,83900000
2009-12-31_Q4,310900000,48900000,262000000,0.842715,0,196500000,0,22800000,243100000,292000000,-3348000,23800000,35952000,0.115638,18900000,0.060791,-100000,15500000,0.049855,5800000,9700000,0.0312,0.12,0.12,83900000,83900000
2009-09-30_Q3,322800000,48000000,274800000,0.851301,0,206600000,0,24200000,254800000,302800000,-3109000,24100000,38191000,0.118312,20000000,0.061958,400000,17200000,0.053284,6700000,10500000,0.032528,0.13,0.13,84800000,84800000
2009-06-30_Q2,316200000,43800000,272400000,0.86148,0,203100000,0,23900000,250900000,294700000,-3330000,23900000,38470000,0.121664,21500000,0.067995,-300000,17900000,0.05661,7200000,10700000,0.033839,0.13,0.13,83900000,83900000
2009-03-31_Q1,295100000,40600000,254600000,0.862758,0,200300000,0,21200000,244500000,285100000,-3254000,23000000,26346000,0.089278,10100000,0.034226,-300000,6500000,0.022026,2600000,4000000,0.013555,0.05,0.05,83900000,83900000
