date,,,,,COST And EXPENSES,,,,,,,,EBITDA,,,,INCOME,,,,,,,,,EPS,,,,
,revenue,costOfRevenue,grossProfit,grossProfitRatio,,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,,depreciationAndAmortization,EBITDA,EBITDARatio,,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2014-12-31_Q2,18495000000,9558000000,8937000000,0.483212,,0,5042000000,0,0,5358000000,14916000000,161000000,,746000000,4077000000,0.220438,,3579000000,0.193512,19000000,3472000000,0.187726,798000000,2372000000,0.128251,,0.92,0.92,2885000000,2885000000
2014-09-30_Q1,18771000000,9734000000,9037000000,0.481434,,0,5404000000,0,0,5404000000,15138000000,169000000,,794000000,3744000000,0.199457,,3633000000,0.193543,13000000,3507000000,0.186831,791000000,1990000000,0.106015,,0.93,0.93,2888000000,2888000000
2014-06-30_Q4,13487000000,8308000000,5179000000,0.383999,,0,2847000000,0,0,2847000000,11155000000,178000000,,824000000,4006000000,0.297027,,2332000000,0.172907,141000000,2321000000,0.172092,425000000,2579000000,0.191221,,0.64,0.64,2892000000,2892000000
2014-03-31_Q3,19641000000,10040000000,9601000000,0.488824,,0,6295000000,0,0,6295000000,16335000000,179000000,,791000000,4223000000,0.215009,,3306000000,0.168321,20000000,3175000000,0.161652,644000000,2609000000,0.132834,,0.87,0.87,2894000000,2894000000
2013-12-31_Q2,21099000000,10474000000,10625000000,0.503578,,0,6323000000,0,0,6323000000,16797000000,187000000,,755000000,5255000000,0.249064,,4302000000,0.203896,43000000,4182000000,0.198208,885000000,3428000000,0.162472,,1.12,1.12,2909000000,2909000000
2013-09-30_Q1,20174000000,10208000000,9966000000,0.494002,,0,5996000000,0,0,5996000000,16204000000,165000000,,771000000,4860000000,0.240904,,3970000000,0.196788,5000000,3831000000,0.189898,897000000,3027000000,0.150045,,1,1,2912000000,2912000000
2013-06-30_Q4,19069000000,9725000000,9344000000,0.49001,,0,6381000000,0,0,6862000000,16587000000,163000000,,794000000,3411000000,0.178877,,2482000000,0.130159,-46000000,2360000000,0.123761,579000000,1875000000,0.098327,,0.7,0.7,2940000000,2940000000
2013-03-31_Q3,20598000000,10274000000,10324000000,0.501214,,0,6948000000,0,-942000000,6919000000,17193000000,163000000,,740000000,4166000000,0.202253,,3405000000,0.165307,46000000,3288000000,0.159627,697000000,2566000000,0.124575,,0.92,0.92,2931000000,2931000000
2012-12-31_Q2,22175000000,10880000000,11295000000,0.509357,,0,6803000000,0,895000000,6803000000,17683000000,169000000,,738000000,6106000000,0.275355,,4492000000,0.20257,895000000,5218000000,0.23531,1142000000,4057000000,0.182954,,1.39,1.39,2919000000,2919000000
2012-09-30_Q1,20739000000,10350000000,10389000000,0.50094,,0,6438000000,0,47000000,6438000000,16788000000,172000000,,710000000,4669000000,0.225131,,3951000000,0.190511,47000000,3826000000,0.184483,973000000,2814000000,0.135686,,0.96,0.96,2932000000,2932000000
2012-06-30_Q4,20212000000,10497000000,9715000000,0.480655,,0,6652000000,0,-238000000,6652000000,17149000000,182000000,,777000000,5282000000,0.26133,,3063000000,0.151544,24000000,2905000000,0.143726,692000000,3631000000,0.179646,,0.75,0.75,2930000000,2930000000
2012-03-31_Q3,20194000000,10237000000,9957000000,0.493067,,0,6636000000,0,67000000,6658000000,16895000000,179000000,,971000000,4315000000,0.213677,,3299000000,0.163365,67000000,3187000000,0.157819,754000000,2411000000,0.119392,,0.81,0.81,2938000000,2938000000
2011-12-31_Q2,21744000000,10851000000,10893000000,0.500966,,0,6659000000,0,203000000,8213000000,19064000000,201000000,,713000000,3581000000,0.164689,,2680000000,0.123252,170000000,2649000000,0.121827,977000000,1690000000,0.077723,,0.89,0.89,2950000000,2950000000
2011-09-30_Q1,21530000000,10806000000,10724000000,0.498096,,0,6474000000,0,-32000000,6474000000,17280000000,207000000,,743000000,5019000000,0.233117,,4250000000,0.197399,1000000,4044000000,0.187831,1045000000,3024000000,0.140455,,1.01,1.01,2946000000,2946000000
2011-06-30_Q4,20451000000,10532000000,9919000000,0.485013,,0,6740000000,0,132000000,6740000000,17272000000,212000000,,735000000,4118000000,0.201359,,3179000000,0.155445,162000000,3129000000,0.153,661000000,2510000000,0.122732,,0.82,0.82,2984000000,2984000000
2011-03-31_Q3,19893000000,9789000000,10104000000,0.507917,,0,6399000000,0,71000000,6399000000,16188000000,202000000,,703000000,4526000000,0.227517,,3705000000,0.186246,104000000,3607000000,0.18132,748000000,2873000000,0.144423,,0.94,0.94,2999000000,2999000000
2010-12-31_Q2,20638000000,9849000000,10789000000,0.522774,,0,6679000000,0,10000000,6679000000,16528000000,209000000,,711000000,4942000000,0.239461,,4110000000,0.199147,39000000,3940000000,0.19091,689000000,3333000000,0.161498,,1.08,1.08,3042000000,3042000000
2010-09-30_Q1,20122000000,9689000000,10433000000,0.518487,,0,5932000000,0,-11000000,5932000000,15621000000,208000000,,689000000,5179000000,0.25738,,4501000000,0.223686,28000000,4321000000,0.21474,1201000000,3081000000,0.153116,,1.02,1.02,3026000000,3026000000
2010-06-30_Q4,18926000000,9560000000,9366000000,0.494875,,0,6416000000,0,-28000000,6416000000,15976000000,212000000,,780000000,3609000000,0.19069,,2950000000,0.15587,-121000000,2617000000,0.138275,432000000,2185000000,0.11545,,0.71,0.71,3069000000,3069000000
2010-03-31_Q3,19178000000,9225000000,9953000000,0.51898,,0,5985000000,0,0,5985000000,15210000000,559183000,,799000000,5120183000,0.266982,,3968000000,0.206904,17000000,3762000000,0.196162,1177000000,2585000000,0.13479,,0.83,0.83,3104000000,3104000000
2009-12-31_Q2,21027000000,9736000000,11291000000,0.536976,,0,6636000000,0,0,6636000000,16372000000,-224000000,,758000000,6528000000,0.310458,,4655000000,0.221382,53000000,4484000000,0.21325,1335000000,4659000000,0.221572,,1.01,1.01,3119000000,3119000000
2009-09-30_Q1,19807000000,9398000000,10409000000,0.525521,,0,5961000000,0,0,5961000000,15359000000,-287000000,,-1457000000,2720000000,0.137325,,4448000000,0.224567,23000000,4184000000,0.211238,1157000000,3307000000,0.166961,,0.97,0.97,3110000000,3110000000
2009-06-30_FY,18662000000,9267000000,9395000000,0.503429429,,0,5822000000,0,0,5822000000,15089000000,-329000000,,854000000,4427000000,0.237220019,,3573000000,0.191458579,40000000,3284000000,0.175972565,0,3284000000,0.175972565,,3.76,3.76,4075797872,4075797872
2009-03-31_Q4,17864000000,9117000000,8747000000,0.489644,,0,5194000000,0,0,5194000000,14311000000,-336000000,,725000000,3823000000,0.214006,,3553000000,0.198892,34000000,3250000000,0.18193,821000000,2613000000,0.146272,,0.78,0.78,3105000000,3105000000
2008-12-31_Q3,19763000000,9799000000,9964000000,0.504174,,0,5909000000,0,0,5909000000,15708000000,-354000000,,693000000,6298000000,0.318676,,4055000000,0.205181,67000000,3768000000,0.190659,955000000,5004000000,0.2532,,0.89,0.89,3171000000,3171000000
2008-09-30_Q2,20983000000,10558000000,10425000000,0.496831,,0,6039000000,0,0,6039000000,16597000000,-339000000,,810000000,5031000000,0.239766,,4386000000,0.209026,280000000,4327000000,0.206215,1212000000,3348000000,0.159558,,0.96,0.96,3240000000,3240000000
2008-06-30_Q1,21266000000,10808000000,10458000000,0.491771,,0,6618000000,0,0,6618000000,17426000000,-355000000,,896000000,4093000000,0.192467,,3840000000,0.18057,67000000,3552000000,0.167027,536000000,3016000000,0.141823,,0.92,0.92,3285000000,3285000000
2008-03-31_Q4,20026000000,9679000000,10347000000,0.516678,,0,6334000000,0,0,6334000000,16013000000,-364000000,,767000000,4122000000,0.205832,,4013000000,0.200389,10000000,3659000000,0.182712,1009000000,2710000000,0.135324,,0.8,0.8,3301000000,3301000000
2007-12-31_Q3,21038000000,10028000000,11010000000,0.523339,,0,6420000000,0,0,6420000000,16448000000,-389000000,,751000000,4832000000,0.22968,,4590000000,0.218177,193000000,4394000000,0.20886,1200000000,3270000000,0.155433,,0.96,0.96,3379000000,3379000000
2007-09-30_Q2,19799000000,9257000000,10542000000,0.532451,,0,6244000000,0,0,6244000000,15501000000,-359000000,,752000000,4600000000,0.232335,,4298000000,0.217082,193000000,4132000000,0.208697,1128000000,3079000000,0.155513,,0.9,0.9,3354000000,3354000000
2007-06-30_Q1,19272000000,9477000000,9795000000,0.50825,,0,6395000000,0,0,6395000000,15872000000,-328000000,,763000000,3643000000,0.189031,,3400000000,0.176422,136000000,3208000000,0.166459,940000000,2268000000,0.117684,,0.67,0.67,3378000000,3378000000
2007-03-31_Q4,18694000000,9057000000,9637000000,0.515513,,0,5991000000,0,0,5991000000,15048000000,-279000000,,878000000,4135000000,0.221194,,3646000000,0.195036,169000000,3536000000,0.189152,1024000000,2512000000,0.134375,,0.74,0.74,3397000000,3397000000
2006-12-31_Q3,19725000000,9287000000,10438000000,0.529176,,0,6088000000,0,0,6088000000,15375000000,-339000000,,705000000,4456000000,0.225906,,4350000000,0.220532,79000000,4090000000,0.207351,1228000000,2862000000,0.145095,,0.84,0.84,3407000000,3407000000
2006-09-30_Q2,18785000000,8865000000,9920000000,0.528081,,0,5866000000,0,0,5866000000,14731000000,-358000000,,784000000,4302000000,0.229013,,4054000000,0.21581,180000000,3876000000,0.206335,1178000000,2698000000,0.143625,,0.79,0.79,3413000000,3413000000
2006-06-30_Q1,17842000000,8894000000,8948000000,0.501513,,0,5999000000,0,0,5999000000,14893000000,-300000000,,736000000,3147000000,0.176382,,2949000000,0.165284,62000000,2711000000,0.151945,813000000,1898000000,0.106378,,0.54,0.54,3437000000,3437000000
2006-03-31_Q4,17250000000,8340000000,8910000000,0.516522,,0,5559000000,0,0,5559000000,13899000000,-301000000,,733000000,3561000000,0.206435,,3351000000,0.194261,79000000,3129000000,0.181391,918000000,2211000000,0.128174,,0.62,0.62,3511000000,3511000000
