,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1980-01-02 16:00:00,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-03 16:00:00,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-04 16:00:00,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-07 16:00:00,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-08 16:00:00,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-09 16:00:00,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-10 16:00:00,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-11 16:00:00,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-14 16:00:00,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-15 16:00:00,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-16 16:00:00,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-17 16:00:00,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-18 16:00:00,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-21 16:00:00,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-22 16:00:00,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-23 16:00:00,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-24 16:00:00,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-25 16:00:00,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-28 16:00:00,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-29 16:00:00,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-30 16:00:00,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-31 16:00:00,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,
